file,deleted
ABAMEX01_extracted.pdb,Y
ABEFOE01_extracted.pdb,Y
ABEGAR01_extracted.pdb,Y
ABEGIZ01_extracted.pdb,Y
ABEKUN_extracted.pdb,Y
ABELAU_extracted.pdb,Y
ABELEY_extracted.pdb,Y
ABELIC_extracted.pdb,Y
ABELOI_extracted.pdb,Y
ACDMNP_extracted.pdb,N
ACEDOE_extracted.pdb,Y
ACEDUK_extracted.pdb,Y
ACIVOZ_extracted.pdb,Y
ACIVUF_extracted.pdb,Y
ACIWAM_extracted.pdb,Y
ACIWEQ_extracted.pdb,Y
ACIWIU_extracted.pdb,Y
ADACIR_extracted.pdb,N
ADAVEH_extracted.pdb,Y
ADEZIT_extracted.pdb,Y
ADEZOZ_extracted.pdb,Y
ADIPOU_extracted.pdb,N
ADOJAG_extracted.pdb,Y
ADOMOW_extracted.pdb,N
ADOSER_extracted.pdb,Y
ADUNUI_extracted.pdb,N
ADUWED_extracted.pdb,Y
AFEHAU_extracted.pdb,Y
AFEHEY_extracted.pdb,Y
AFEKUT_extracted.pdb,Y
AFELAA_extracted.pdb,Y
AFINIO_extracted.pdb,Y
AFONOY_extracted.pdb,Y
AFURID_extracted.pdb,Y
AGAZEN_extracted.pdb,N
AGIVUH_extracted.pdb,M
AGIWIW_extracted.pdb,M
AGUBUB_extracted.pdb,Y
AGUBUZ_extracted.pdb,N
AGUCAG_extracted.pdb,N
AGUCAI_extracted.pdb,Y
AGUCEM_extracted.pdb,Y
AGUZAF_extracted.pdb,Y
AHARFU01_extracted.pdb,Y
AHOYEB_extracted.pdb,N
AHOYIF_extracted.pdb,N
AIPCUR01_extracted.pdb,Y
AJIBUQ_extracted.pdb,N
AJOHUD_extracted.pdb,N
AJOJAL_extracted.pdb,N
AJOKOA_extracted.pdb,N
AJOKUG_extracted.pdb,Y
AJOLAN_extracted.pdb,Y
AJUROM_extracted.pdb,N
AJURUS_extracted.pdb,N
AJUSAZ_extracted.pdb,N
AKACOG_extracted.pdb,N
AKACUM_extracted.pdb,N
AKACUM01_extracted.pdb,N
